Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter,hdop,gpgga_read,current_time.secs,current_time.nsecs
1711657087.261099,88,1711657087,240277528,,42.337781666666665,-71.08414333333333,0.0,328308.4598682007,4689384.440606092,19,T,3.7,"$GPGGA,201807.000,4220.2669,N,07105.0486,W,1,04,3.7,6.4,M,-33.8,M,,0000*63
",1711675086,999999523
1711657088.2479227,89,1711657088,239786863,,42.337745,-71.08410666666667,0.0,328311.3808005539,4689380.295017133,19,T,3.6,"$GPGGA,201808.000,4220.2647,N,07105.0464,W,1,05,3.6,6.6,M,-33.8,M,,0000*6E
",1711675087,999999761
1711657089.2464073,90,1711657089,239168405,,42.337711666666664,-71.084075,0.0,328313.8988909898,4689376.529666246,19,T,3.6,"$GPGGA,201809.000,4220.2627,N,07105.0445,W,1,05,3.6,6.5,M,-33.8,M,,0000*69
",1711675088,999999761
1711657090.2486112,91,1711657090,241335868,,42.337646666666664,-71.08402666666667,0.0,328317.7038632439,4689369.214323941,19,T,3.6,"$GPGGA,201810.000,4220.2588,N,07105.0416,W,1,05,3.6,5.3,M,-33.8,M,,0000*64
",1711675089,999999761
1711657091.2472672,92,1711657091,240211248,,42.33759,-71.08398833333334,0.0,328320.70768611575,4689362.844527174,19,T,3.6,"$GPGGA,201811.000,4220.2554,N,07105.0393,W,1,05,3.6,5.0,M,-33.8,M,,0000*6D
",1711675090,999999761
1711657092.2458227,93,1711657092,238295793,,42.337563333333335,-71.08397,0.0,328322.1454823206,4689359.84638245,19,T,3.6,"$GPGGA,201812.000,4220.2538,N,07105.0382,W,1,05,3.6,5.0,M,-33.8,M,,0000*64
",1711675091,999999523
1711657093.2650435,94,1711657093,257830381,,42.337535,-72.75061666666667,0.0,685305.3570349312,4689703.940036923,18,T,3.6,"$GPGGA,201813.000,4220.2521,N,07105.0370,W,1,05,3.6,6.2,M,-33.8,M,,0000*61
",1711675092,999999761
1711657094.2485287,95,1711657094,241698503,,42.337518333333335,-71.08394166666666,0.0,328324.3572255493,4689354.79227177,19,T,3.6,"$GPGGA,201814.000,4220.2511,N,07105.0365,W,1,05,3.6,6.6,M,-33.8,M,,0000*65
",1711675093,999999761
1711657095.2573774,96,1711657095,250221967,,42.33750833333333,-71.08393666666667,0.0,328324.7419308288,4689353.6717533665,19,T,3.6,"$GPGGA,201815.000,4220.2505,N,07105.0362,W,1,05,3.6,6.9,M,-33.8,M,,0000*69
",1711675094,999999761
1711657096.283331,97,1711657096,258668661,,42.33750333333333,-71.08393666666667,0.0,328324.7283242599,4689353.116541612,19,T,3.6,"$GPGGA,201816.000,4220.2502,N,07105.0362,W,1,05,3.6,7.0,M,-33.8,M,,0000*65
",1711675095,999999523
